,Date,Color_of_perch,Condition,Spatial_segregation,Total,Sex,Color_of_damselfly
126,4_13,gray,MGF,Outside_2,1,Female,Mature_gray
185,4_13,green,IM,Outside_2,2,Male,Inmature_Green
251,4_13,green,IGF,Outside_2,3,Female,Olive_green
313,4_13,yellow,IM,Outside_2,1,Male,Inmature_Green
441,4_20,gray,IM,Outside_2,2,Male,Inmature_Green
511,4_20,gray,IOF,Outside_2,2,Female,Inmature_orange
768,4_20,yellow,MOF,Outside_2,1,Female,Inmature_orange
825,4_26,gray,IM,Outside_2,1,Male,Inmature_Green
826,4_26,gray,MM,Outside_2,1,Male,Green
894,4_26,gray,MGF,Outside_2,1,Female,Mature_gray
953,4_26,green,IM,Outside_2,3,Male,Inmature_Green
954,4_26,green,MM,Outside_2,5,Male,Green
1337,4_27,green,IM,Outside_2,5,Male,Inmature_Green
1403,4_27,green,IGF,Outside_2,1,Female,Olive_green
1407,4_27,green,IOF,Outside_2,1,Female,Inmature_orange
1536,4_27,yellow,MOF,Outside_2,1,Female,Inmature_orange
1659,8_03,gray,IGF,Outside_2,1,Female,Olive_green
1787,8_03,green,IGF,Outside_2,1,Female,Olive_green
1915,8_03,yellow,IGF,Outside_2,1,Female,Olive_green
2046,8_10,gray,MGF,Outside_2,2,Female,Mature_gray
2105,8_10,green,IM,Outside_2,1,Male,Inmature_Green
2106,8_10,green,MM,Outside_2,1,Male,Green
2234,8_10,yellow,MM,Outside_2,3,Male,Green
2302,8_10,yellow,MGF,Outside_2,2,Female,Mature_gray
2555,8_17,green,IGF,Outside_2,2,Female,Olive_green
2617,8_17,yellow,IM,Outside_2,2,Male,Inmature_Green
2618,8_17,yellow,MM,Outside_2,1,Male,Green
2683,8_17,yellow,IGF,Outside_2,3,Female,Olive_green
2686,8_17,yellow,MGF,Outside_2,1,Female,Mature_gray
2745,2_07,gray,IM,Outside_2,1,Male,Inmature_Green
2812,2_07,gray,IVF,Outside_2,1,Female,Inmature_green
3001,2_07,yellow,IM,Outside_2,2,Male,Inmature_Green
3067,2_07,yellow,IGF,Outside_2,5,Female,Olive_green
3129,2_09,gray,IM,Outside_2,1,Male,Inmature_Green
3323,2_09,green,IGF,Outside_2,1,Female,Olive_green
3385,2_09,yellow,IM,Outside_2,2,Male,Inmature_Green
3451,2_09,yellow,IGF,Outside_2,2,Female,Olive_green
3452,2_09,yellow,IVF,Outside_2,2,Female,Inmature_green
3579,2_14,gray,IGF,Outside_2,1,Female,Olive_green
3641,2_14,green,IM,Outside_2,1,Male,Inmature_Green
3707,2_14,green,IGF,Outside_2,4,Female,Olive_green
3769,2_14,yellow,IM,Outside_2,3,Male,Inmature_Green
3835,2_14,yellow,IGF,Outside_2,2,Female,Olive_green
3836,2_14,yellow,IVF,Outside_2,2,Female,Inmature_green
3840,2_14,yellow,MOF,Outside_2,1,Female,Inmature_orange
3897,2_15,gray,IM,Outside_2,1,Male,Inmature_Green
3963,2_15,gray,IGF,Outside_2,1,Female,Olive_green
4153,2_15,yellow,IM,Outside_2,1,Male,Inmature_Green
4154,2_15,yellow,MM,Outside_2,1,Male,Green
4219,2_15,yellow,IGF,Outside_2,1,Female,Olive_green
4220,2_15,yellow,IVF,Outside_2,1,Female,Inmature_green
4223,2_15,yellow,IOF,Outside_2,2,Female,Inmature_orange
4281,2_16,gray,IM,Outside_2,1,Male,Inmature_Green
4347,2_16,gray,IGF,Outside_2,1,Female,Olive_green
4409,2_16,green,IM,Outside_2,2,Male,Inmature_Green
4475,2_16,green,IGF,Outside_2,1,Female,Olive_green
4476,2_16,green,IVF,Outside_2,1,Female,Inmature_green
4537,2_16,yellow,IM,Outside_2,3,Male,Inmature_Green
